Ticker,VWAP,Recent Close,Momentum,Momentum (%),Latest Crossover,Crossover Date,Days Since Crossover,Latest RSI,Upper Band,Middle Band,Lower Band,Volume,outstandingShares,avgVolume,recentVolume,turnoverRatio,relativeVolume
NVDA,124.23214733878694,145.13999938964844,0.16829663254427046,16.829663254427047,Bearish,2024-11-15,19,56.99078443527959,151.70818155268827,143.14549865722657,134.58281576176486,4669843600,24490000384,222373505,164414000,0.1906836883126771,0.7393596642729537
ACHR,4.733645937213448,6.960000038146973,0.4703254384598335,47.03254384598335,Bullish,2024-09-27,68,60.07585303567219,8.990276450908668,5.611500012874603,2.2327235748405383,870590100,389161984,41456671,51919400,2.237089273344849,1.2523774521113864
BITF,2.297926192049575,2.140000104904175,-0.0687254828687696,-6.8725482868769605,Bearish,2024-11-20,14,51.078048014348134,2.547834447293758,2.1892500281333924,1.8306656089730269,1066518500,472500000,50786595,45872800,2.25718201058201,0.9032462207793218
TSLA,245.89912327013613,357.92999267578125,0.4555968639325808,45.55968639325808,Bearish,2024-11-27,7,66.19977843765999,371.20914184762415,334.3785003662109,297.5478588847977,2152430700,3210060032,102496700,58267200,0.6705266189862956,0.5684787900488504
PLUG,2.234129382102126,2.130000114440918,-0.046608432123672,-4.6608432123672,Bullish,2024-11-25,9,51.777861808603234,2.261336832097292,2.025499999523163,1.789663166949034,1460352600,911196992,69540600,90739700,1.602674957030587,1.3048449395029666
INTC,24.228040519408427,21.959999084472656,-0.09361225201513529,-9.361225201513529,Bearish,2024-11-19,15,38.09736639568747,26.37214934154684,24.397999954223632,22.423850566900423,1570185100,4312999936,74770719,138160500,0.364058688453456,1.847788838301796
LCID,2.9308508673844353,2.0999999046325684,-0.28348455801619793,-28.348455801619792,Bullish,2024-11-11,23,38.4370688440977,2.279076517241257,2.137250006198883,1.995423495156509,1571678800,3011689984,74841848,49624400,0.5218594238948069,0.66305685022636
PLTR,39.88798065672575,69.8499984741211,0.7511540399913242,75.11540399913243,Bullish,2024-12-03,1,73.54071058679234,71.1502476717518,62.91649971008301,54.68275174841422,1832501100,2180649984,87261957,100751400,0.8403462790661227,1.1545856116887223
SOFI,9.279718532117554,16.31999969482422,0.7586739983912132,75.86739983912132,Bullish,2024-11-05,29,76.91452201868948,17.270792491360883,14.532000017166137,11.793207542971391,1119989800,1085149952,53332848,43795800,1.0321060217860103,0.8211787227263768
NIO,5.120205527926238,4.599999904632568,-0.10159858241166367,-10.159858241166367,Bullish,2024-12-03,1,44.765558588311706,5.188472409517717,4.6769999980926515,4.1655275866675865,1207864300,1941929984,57517348,79059800,0.621991683506546,1.374538339285045
IREN,10.323050435090432,14.270000457763672,0.3823433826552514,38.23433826552514,Bullish,2024-11-29,5,65.64098563381172,13.975242758731111,11.361500024795532,8.747757290859953,430259400,214406000,20488543,15380400,2.006750743915749,0.7506829548592109
OPEN,2.040386909690817,2.190000057220459,0.0733258710978071,7.33258710978071,Bullish,2024-11-22,12,59.805583921471325,2.407205127707193,1.9220000088214875,1.4367948899357819,949189000,715070016,45199476,32563100,1.3274070772952111,0.7204309182699374
DELL,123.86615030498946,126.0999984741211,0.018034371485925252,1.8034371485925251,Bearish,2024-11-27,7,43.964191048029015,146.30234373181497,134.51999893188477,122.73765413195457,186294600,357515008,8871171,6989900,0.5210819009869371,0.7879343099124118
GRAB,4.024651517083373,5.309999942779541,0.31936887460697416,31.936887460697417,Bearish,2024-11-29,5,64.89099959226323,5.827700831227533,4.971999955177307,4.1162990791270815,1075701800,3908999936,51223895,39148500,0.2751859344108211,0.7642624599320298
NU,13.653839083313345,12.0,-0.1211263054458096,-12.11263054458096,Bearish,2024-11-15,19,32.09337467677595,16.526197506738992,13.986999893188477,11.447802279637962,991097900,3755130112,47195138,58206100,0.2639317068755672,1.2333071258314787
AMD,153.22572226142447,143.99000549316406,-0.06027523729013971,-6.027523729013971,Bullish,2024-11-25,9,50.852602466993844,149.09224242399102,140.947501373291,132.80276032259098,625122300,1622809984,29767729,22665300,0.3852097942232034,0.7614050772902428
F,11.300936238692296,10.739999771118164,-0.04963628284651234,-4.963628284651234,Bearish,2024-12-02,2,44.90798747650035,11.380503013705344,11.043499994277955,10.706496974850566,1157892100,3903439872,55137719,43904300,0.2966337737916102,0.7962661640029034
PFE,28.240535215613225,25.229999542236328,-0.1066033504815615,-10.66033504815615,Bullish,2024-11-26,8,36.64095386662251,27.3984353351455,25.88899984359741,24.37956435204932,1072209100,5666990080,51057576,49064300,0.1892025722409593,0.9609602304660918
HPQ,35.80878624246869,36.36000061035156,0.015393271476739936,1.5393271476739936,Bearish,2024-11-27,7,47.69972771133544,39.1346446720243,37.04900016784668,34.963355663669056,180905600,963408000,8614552,7311400,0.1877767259561888,0.8487266662271004
IQ,2.730029514038908,2.2300000190734863,-0.1831590070341984,-18.315900703419842,Bullish,2024-11-29,5,48.73249971202192,2.4620770569914607,2.183000016212463,1.9039229754334657,448735800,525220992,21368371,28792900,0.8543752188792941,1.3474541414504644
