Ticker,outstandingShares,volume,averageVolume,relativeVolume,turnoverRatio
BITF,472551008,55713400,53430860.0,1.0427195070414363,0.11789923004460082
TSLA,3210060032,131374800,90593340.0,1.4501595812672323,0.040925963592695826
PLUG,911196992,83794200,67047365.0,1.2497761843437099,0.09196057574342827
INTC,4312999936,108060900,84181360.0,1.2836677858376249,0.025054695479596687
LCID,3011689984,156730300,91698230.0,1.7091965679163055,0.05204064855036553
PLTR,2180649984,278971100,92679145.0,3.0100741650130676,0.12793025109342812
RIVN,1012849984,41894400,45058305.0,0.929781979149016,0.041362887556702574
SOFI,1085149952,52620600,49600130.0,1.060896412973111,0.04849154709265471
NIO,1941929984,36525600,53642745.0,0.6809047523574716,0.01880891705722795
IREN,214406000,14295000,19318680.0,0.7399573883929957,0.06667257446153559
OPEN,715070016,36689500,44386470.0,0.8265919772399112,0.05130896161083057
DELL,357336992,12217500,10332965.0,1.182380855833732,0.03419041485634938
CLSK,280801984,29616000,42032115.0,0.7046040866608783,0.10546934027360719
NU,3755130112,69270900,50547635.0,1.3704083286982665,0.018447003947649098
AMD,1622809984,53366800,37697255.0,1.415668063894838,0.03288542745371722
RIOT,343927008,34537900,39786725.0,0.8680759725762801,0.10042218027843862
F,3903439872,87566200,59984755.0,1.4598075794424767,0.022433085399400254
PFE,5666990080,116185100,45380205.0,2.5602594787749418,0.02050208282700929
HPQ,937798016,17752800,9807410.0,1.810141515445974,0.018930302364811146
RKLB,499911008,25022900,23800620.0,1.0513549647026001,0.0500547089373155
WBD,2453169920,52770300,32706035.0,1.6134728651761059,0.021511065976220677
HIMS,210100992,17260100,16746345.0,1.0306786346513224,0.08215144457766292
WULF,385908000,25853200,24400990.0,1.0595143885555462,0.06699316935642692
LYFT,406286016,18588800,14290560.0,1.3007747771955753,0.045752989933082015
SYM,106353000,3352300,4135510.0,0.8106134430819899,0.03152050247759819
GOLD,1748050048,27205000,20293440.0,1.340580995632086,0.015563055549311137
WFC,3329489920,50053800,18467075.0,2.7104346519413607,0.01503347395627496
AVGO,4670580224,131721900,43779240.0,3.00877539217218,0.02820247028905332
JOBY,765086016,27679000,22395110.0,1.2359394528537704,0.036177631561887025
AMCR,1445340032,39766400,17611265.0,2.258009291212187,0.02751352561996982
DNN,892617984,32499500,21721625.0,1.4961818003947678,0.036409192490569404
MU,1114169984,49394100,27283105.0,1.8104281019334127,0.044332642872561896
AES,711027008,25092100,15398730.0,1.6294915230022216,0.035289939366128835
BB,591582976,40700800,17074435.0,2.383727484979737,0.06879981617320916
HPE,1315330048,43677800,17727205.0,2.4638853107413152,0.03320672257614235
APLT,116356000,14118900,12106955.0,1.1661809265831087,0.12134225996080993
HOOD,763563008,28993900,26474925.0,1.095145689742275,0.03797184999302638
