Ticker,outstandingShares,trainingVolume,averageTrainingVolume,relativeTrainingVolume,trainingTurnoverRatio
VCIG,12508500,1122800,19884800.0,0.05646523978113936,0.08976296118639325
NVDA,24490000384,209719200,221437525.0,0.9470806720766952,0.00856346250353738
MARA,339382016,47800000,79004335.0,0.6050300910703191,0.14084423377342423
BBD,5295830016,35584900,40671840.0,0.8749272223730227,0.00671941884321991
SMCI,585564992,39138300,99416705.0,0.3936793117414221,0.0668385243904745
ACHR,465529984,52338900,55301845.0,0.94642231194999,0.11242863359795961
RGTI,280048992,176118500,154353185.0,1.1410098210801416,0.6288846060192211
BITF,472551008,34279500,54172935.0,0.6327790805500939,0.0725413752582663
TSLA,3210060032,118566100,86925185.0,1.3640016987021655,0.03693578899399225
UMAC,14972000,2903300,11383055.0,0.25505455257837195,0.19391530857600855
PLUG,911196992,42184900,65023310.0,0.6487658041400846,0.04629613614879009
INTC,4312999936,69117800,81724735.0,0.8457390531764954,0.016025458155722077
LCID,3011689984,90137500,86997090.0,1.0360978740783169,0.02992920934055874
PLTR,2180649984,99524300,81547425.0,1.2204468749319797,0.04563974077923365
RIVN,1012849984,38905300,44737200.0,0.8696409252255394,0.03841171013929739
SOFI,1085149952,44149600,50009240.0,0.8828288532279235,0.04068525268662593
QUBT,118944000,122452800,69295365.0,1.7671138610785873,1.029499596448749
NIO,1941929984,27936400,54564580.0,0.511987813339716,0.014385894563745507
IREN,214406000,15101600,19735285.0,0.7652081031512846,0.07043459604675242
OPEN,715070016,33941000,44760520.0,0.7582798412529613,0.047465282057079006
DELL,357336992,9248400,10053075.0,0.9199573264896561,0.025881451422751105
ABEV,15728199680,31838600,30142815.0,1.0562583487972175,0.0020243003425551628
GRAB,3908999936,22249700,35926895.0,0.6193048411225073,0.005691916184262634
MSTR,223892992,26922900,33352900.0,0.8072131658716334,0.12024896250437352
ITUB,4834809856,88212100,34764675.0,2.5374061457499604,0.018245205629033947
CLSK,280801984,35966500,43660845.0,0.8237701308804262,0.1280849212233486
AAPL,15115799552,60882300,45004605.0,1.3528015633066883,0.0040277260749957845
T,7175289856,43160800,38254370.0,1.12825802646861,0.006015199506387718
SOUN,337015008,139389800,103201270.0,1.3506597350982212,0.413601165203895
BTBT,147792000,19393100,21920990.0,0.8846817593548466,0.13121887517592293
NU,3755130112,73185800,48768250.0,1.5006853844458228,0.01948955104541528
AMD,1622809984,46160700,36494485.0,1.2648678286595907,0.02844491989519335
CYCN,2710100,134800,9117010.0,0.014785549209664134,0.04973986199771226
RIOT,343927008,28545800,40819355.0,0.6993202121885561,0.0829995880986468
F,3903439872,81659000,58276920.0,1.4012236748270155,0.020919753519390193
PFE,5666990080,50324700,41823370.0,1.2032674554919893,0.008880322585636148
VALE,4268720128,35452000,30857360.0,1.1488993225603228,0.008305065438105948
AMZN,10515000320,39918700,37926190.0,1.0525365189595897,0.003796357468869768
HPQ,937798016,7615500,9218240.0,0.8261338389974658,0.008120618587446447
IQ,525220992,15276900,26305535.0,0.5807485002680994,0.02908661350687217
RKLB,499911008,15541800,23955220.0,0.6487855256599605,0.031089133368313426
WBD,2453169920,30392000,32014130.0,0.9493308111137176,0.01238886868464456
