Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
VCIG,"Vci Global Limited Ordinary Share",4.1,2.31,+129.05%,7.74,2.33,257576188,2024-11-27
NVDA,"Nvidia Corp",135.34,-1.58,-1.15%,137.22,131.8,226370891,2024-11-27
MARA,"Mara Holdings Inc",26.92,1.95,+7.81%,27.32,25,87941695,2024-11-27
BBD,"Banco Bradesco S.A. ADR",2.26,-0.11,-4.64%,2.37,2.24,69509200,2024-11-27
SMCI,"Super Micro Computer",35.07,0.64,+1.86%,37.14,34.43,63261301,2024-11-27
ACHR,"Archer Aviation Inc",8.08,0.86,+11.91%,8.54,7.45,62743000,2024-11-27
RGTI,"Rigetti Computing Inc",2.4,0.2,+9.09%,2.52,2.3,62233496,2024-11-27
BITF,"Bitfarms Ltd",2.15,0.18,+9.14%,2.18,2,61445898,2024-11-27
TSLA,"Tesla Inc",332.89,-5.34,-1.58%,342.55,326.59,57896402,2024-11-27
UMAC,"Unusual Machines Inc",9.89,4.53,+84.51%,11.67,7.19,56838900,2024-11-27
PLUG,"Plug Power Inc",2.13,0.06,+2.90%,2.3,2.08,54185297,2024-11-27
INTC,"Intel Corp",23.65,-0.4,-1.66%,23.93,23.06,53992301,2024-11-27
LCID,"Lucid Group Inc",2.17,0.04,+1.64%,2.2,2.11,53963898,2024-11-27
PLTR,"Palantir Technologies Inc",66.05,0.31,+0.47%,67.56,64.24,53839898,2024-11-27
RIVN,"Rivian Automotive Inc Cl A",12.22,0.67,+5.80%,12.45,11.62,49064102,2024-11-27
SOFI,"Sofi Technologies Inc",16.12,0.63,+4.07%,16.16,15.57,48218500,2024-11-27
QUBT,"Quantum Computing Inc",6.75,0.1,+1.50%,7.7,5.89,48035098,2024-11-27
NIO,"Nio Inc ADR",4.38,0.07,+1.62%,4.45,4.28,45474400,2024-11-27
IREN,"Iris Energy Ltd",12.4,2.84,+29.71%,12.7,10.61,44547398,2024-11-27
OPEN,"Opendoor Technologies Inc",2.27,0.07,+3.18%,2.34,2.17,43873699,2024-11-27
DELL,"Dell Technologies Inc",124.38,-17.36,-12.25%,127.16,121.3,38089600,2024-11-27
ABEV,"Ambev S.A. ADR",2.15,-0.04,-1.83%,2.2,2.13,36086000,2024-11-27
GRAB,"Grab Holdings Ltd Cl A",5.18,0.03,+0.58%,5.32,5.09,36030102,2024-11-27
MSTR,"Microstrategy Cl A",388.84,35.15,+9.94%,397.66,372.5,34921199,2024-11-27
ITUB,"Itau Unibanco Banco Holding S.A. ADR",5.74,-0.25,-4.17%,5.97,5.7,34271200,2024-11-27
CLSK,"Cleanspark Inc",13.86,0.83,+6.37%,14.13,13.25,33683801,2024-11-27
AAPL,"Apple Inc",234.93,-0.13,-0.06%,235.69,233.81,33498398,2024-11-27
T,"AT&T Inc",23.27,0.18,+0.78%,23.38,23.01,33206200,2024-11-27
SOUN,"Soundhound Ai Inc Cl A",7.88,0.27,+3.55%,7.89,7.3,32646799,2024-11-27
BTBT,"Bit Digital Inc",4.43,0.69,+18.45%,4.48,3.91,31115301,2024-11-27
NU,"Nu Holdings Ltd Cl A",13.53,-0.41,-2.94%,14.005,13.49,31092900,2024-11-27
